audio_path,feature_path,fold
data\split_audio\blues\blues.00000_0.wav,data/train_features//blues.00000_0.pickle,4
data\split_audio\blues\blues.00000_1.wav,data/train_features//blues.00000_1.pickle,4
data\split_audio\blues\blues.00000_2.wav,data/train_features//blues.00000_2.pickle,4
data\split_audio\blues\blues.00000_3.wav,data/train_features//blues.00000_3.pickle,4
data\split_audio\blues\blues.00000_4.wav,data/train_features//blues.00000_4.pickle,4
data\split_audio\blues\blues.00000_5.wav,data/train_features//blues.00000_5.pickle,4
data\split_audio\blues\blues.00001_0.wav,data/train_features//blues.00001_0.pickle,0
data\split_audio\blues\blues.00001_1.wav,data/train_features//blues.00001_1.pickle,0
data\split_audio\blues\blues.00001_2.wav,data/train_features//blues.00001_2.pickle,0
data\split_audio\blues\blues.00001_3.wav,data/train_features//blues.00001_3.pickle,0
data\split_audio\blues\blues.00001_4.wav,data/train_features//blues.00001_4.pickle,0
data\split_audio\blues\blues.00001_5.wav,data/train_features//blues.00001_5.pickle,0
data\split_audio\blues\blues.00002_0.wav,data/train_features//blues.00002_0.pickle,0
data\split_audio\blues\blues.00002_1.wav,data/train_features//blues.00002_1.pickle,0
data\split_audio\blues\blues.00002_2.wav,data/train_features//blues.00002_2.pickle,0
data\split_audio\blues\blues.00002_3.wav,data/train_features//blues.00002_3.pickle,0
data\split_audio\blues\blues.00002_4.wav,data/train_features//blues.00002_4.pickle,0
data\split_audio\blues\blues.00002_5.wav,data/train_features//blues.00002_5.pickle,0
data\split_audio\blues\blues.00003_0.wav,data/train_features//blues.00003_0.pickle,3
data\split_audio\blues\blues.00003_1.wav,data/train_features//blues.00003_1.pickle,3
data\split_audio\blues\blues.00003_2.wav,data/train_features//blues.00003_2.pickle,3
data\split_audio\blues\blues.00003_3.wav,data/train_features//blues.00003_3.pickle,3
data\split_audio\blues\blues.00003_4.wav,data/train_features//blues.00003_4.pickle,3
data\split_audio\blues\blues.00003_5.wav,data/train_features//blues.00003_5.pickle,3
data\split_audio\blues\blues.00004_0.wav,data/train_features//blues.00004_0.pickle,0
data\split_audio\blues\blues.00004_1.wav,data/train_features//blues.00004_1.pickle,0
data\split_audio\blues\blues.00004_2.wav,data/train_features//blues.00004_2.pickle,0
data\split_audio\blues\blues.00004_3.wav,data/train_features//blues.00004_3.pickle,0
data\split_audio\blues\blues.00004_4.wav,data/train_features//blues.00004_4.pickle,0
data\split_audio\blues\blues.00004_5.wav,data/train_features//blues.00004_5.pickle,0
data\split_audio\blues\blues.00005_0.wav,data/train_features//blues.00005_0.pickle,4
data\split_audio\blues\blues.00005_1.wav,data/train_features//blues.00005_1.pickle,4
data\split_audio\blues\blues.00005_2.wav,data/train_features//blues.00005_2.pickle,4
data\split_audio\blues\blues.00005_3.wav,data/train_features//blues.00005_3.pickle,4
data\split_audio\blues\blues.00005_4.wav,data/train_features//blues.00005_4.pickle,4
data\split_audio\blues\blues.00005_5.wav,data/train_features//blues.00005_5.pickle,4
data\split_audio\blues\blues.00006_0.wav,data/train_features//blues.00006_0.pickle,2
data\split_audio\blues\blues.00006_1.wav,data/train_features//blues.00006_1.pickle,2
data\split_audio\blues\blues.00006_2.wav,data/train_features//blues.00006_2.pickle,2
data\split_audio\blues\blues.00006_3.wav,data/train_features//blues.00006_3.pickle,2
data\split_audio\blues\blues.00006_4.wav,data/train_features//blues.00006_4.pickle,2
data\split_audio\blues\blues.00006_5.wav,data/train_features//blues.00006_5.pickle,2
data\split_audio\blues\blues.00007_0.wav,data/train_features//blues.00007_0.pickle,2
data\split_audio\blues\blues.00007_1.wav,data/train_features//blues.00007_1.pickle,2
data\split_audio\blues\blues.00007_2.wav,data/train_features//blues.00007_2.pickle,2
data\split_audio\blues\blues.00007_3.wav,data/train_features//blues.00007_3.pickle,2
data\split_audio\blues\blues.00007_4.wav,data/train_features//blues.00007_4.pickle,2
data\split_audio\blues\blues.00007_5.wav,data/train_features//blues.00007_5.pickle,2
data\split_audio\blues\blues.00008_0.wav,data/train_features//blues.00008_0.pickle,0
data\split_audio\blues\blues.00008_1.wav,data/train_features//blues.00008_1.pickle,0
data\split_audio\blues\blues.00008_2.wav,data/train_features//blues.00008_2.pickle,0
data\split_audio\blues\blues.00008_3.wav,data/train_features//blues.00008_3.pickle,0
data\split_audio\blues\blues.00008_4.wav,data/train_features//blues.00008_4.pickle,0
data\split_audio\blues\blues.00008_5.wav,data/train_features//blues.00008_5.pickle,0
data\split_audio\blues\blues.00009_0.wav,data/train_features//blues.00009_0.pickle,3
data\split_audio\blues\blues.00009_1.wav,data/train_features//blues.00009_1.pickle,3
data\split_audio\blues\blues.00009_2.wav,data/train_features//blues.00009_2.pickle,3
data\split_audio\blues\blues.00009_3.wav,data/train_features//blues.00009_3.pickle,3
data\split_audio\blues\blues.00009_4.wav,data/train_features//blues.00009_4.pickle,3
data\split_audio\blues\blues.00009_5.wav,data/train_features//blues.00009_5.pickle,3
data\split_audio\blues\blues.00010_0.wav,data/train_features//blues.00010_0.pickle,0
data\split_audio\blues\blues.00010_1.wav,data/train_features//blues.00010_1.pickle,0
data\split_audio\blues\blues.00010_2.wav,data/train_features//blues.00010_2.pickle,0
data\split_audio\blues\blues.00010_3.wav,data/train_features//blues.00010_3.pickle,0
data\split_audio\blues\blues.00010_4.wav,data/train_features//blues.00010_4.pickle,0
data\split_audio\blues\blues.00010_5.wav,data/train_features//blues.00010_5.pickle,0
data\split_audio\blues\blues.00011_0.wav,data/train_features//blues.00011_0.pickle,4
data\split_audio\blues\blues.00011_1.wav,data/train_features//blues.00011_1.pickle,4
data\split_audio\blues\blues.00011_2.wav,data/train_features//blues.00011_2.pickle,4
data\split_audio\blues\blues.00011_3.wav,data/train_features//blues.00011_3.pickle,4
data\split_audio\blues\blues.00011_4.wav,data/train_features//blues.00011_4.pickle,4
data\split_audio\blues\blues.00011_5.wav,data/train_features//blues.00011_5.pickle,4
data\split_audio\blues\blues.00012_0.wav,data/train_features//blues.00012_0.pickle,2
data\split_audio\blues\blues.00012_1.wav,data/train_features//blues.00012_1.pickle,2
data\split_audio\blues\blues.00012_2.wav,data/train_features//blues.00012_2.pickle,2
data\split_audio\blues\blues.00012_3.wav,data/train_features//blues.00012_3.pickle,2
data\split_audio\blues\blues.00012_4.wav,data/train_features//blues.00012_4.pickle,2
data\split_audio\blues\blues.00012_5.wav,data/train_features//blues.00012_5.pickle,2
data\split_audio\blues\blues.00013_0.wav,data/train_features//blues.00013_0.pickle,3
data\split_audio\blues\blues.00013_1.wav,data/train_features//blues.00013_1.pickle,3
